date,time,precipitation_inches
16SEP2018,12:00,0.0457895388406601
16SEP2018,13:00,0.0059346039547385
16SEP2018,14:00,7.75766208069101e-05
16SEP2018,15:00,0.0
16SEP2018,16:00,0.0
16SEP2018,17:00,0.0268802626731022
16SEP2018,18:00,0.0287420987518767
16SEP2018,19:00,0.0
16SEP2018,20:00,0.0
16SEP2018,21:00,0.0
16SEP2018,22:00,0.0118304195990735
16SEP2018,23:00,0.007447347783038
17SEP2018,00:00,0.0055273278514823
17SEP2018,01:00,0.0007563717754321
17SEP2018,02:00,0.0175516858120681
17SEP2018,03:00,0.4562080699465957
17SEP2018,04:00,0.8319111130410607
17SEP2018,05:00,0.6077731795466523
17SEP2018,06:00,0.645649908382516
17SEP2018,07:00,0.2466933070020371
17SEP2018,08:00,0.0
17SEP2018,09:00,0.0
17SEP2018,10:00,0.0
17SEP2018,11:00,0.0
17SEP2018,12:00,0.0206353533911162
17SEP2018,13:00,0.0149334791138416
17SEP2018,14:00,0.0
17SEP2018,15:00,0.0035297324088605
17SEP2018,16:00,0.0
17SEP2018,17:00,0.0
17SEP2018,18:00,0.0
17SEP2018,19:00,0.0
17SEP2018,20:00,0.0
17SEP2018,21:00,0.0
17SEP2018,22:00,0.0
17SEP2018,23:00,0.0
18SEP2018,00:00,0.0
18SEP2018,01:00,0.0
18SEP2018,02:00,0.0
18SEP2018,03:00,0.0
18SEP2018,04:00,0.0
18SEP2018,05:00,0.0
18SEP2018,06:00,0.0
18SEP2018,07:00,0.0
18SEP2018,08:00,0.0
18SEP2018,09:00,0.0
18SEP2018,10:00,0.0
18SEP2018,11:00,0.0
18SEP2018,12:00,0.0
18SEP2018,13:00,0.0
18SEP2018,14:00,0.0
18SEP2018,15:00,0.0
18SEP2018,16:00,0.0
18SEP2018,17:00,0.0
18SEP2018,18:00,0.0
18SEP2018,19:00,0.0012412246382128
18SEP2018,20:00,0.0
18SEP2018,21:00,0.0
18SEP2018,22:00,0.0
18SEP2018,23:00,0.0
19SEP2018,00:00,0.0
19SEP2018,01:00,0.0
19SEP2018,02:00,0.0
19SEP2018,03:00,0.0
19SEP2018,04:00,0.0
19SEP2018,05:00,0.0
19SEP2018,06:00,0.0
19SEP2018,07:00,0.0
19SEP2018,08:00,0.0
19SEP2018,09:00,0.0
19SEP2018,10:00,0.0
19SEP2018,11:00,0.0
19SEP2018,12:00,0.0
19SEP2018,13:00,0.0
19SEP2018,14:00,0.0
19SEP2018,15:00,0.0
19SEP2018,16:00,0.0
19SEP2018,17:00,0.0
19SEP2018,18:00,0.0
19SEP2018,19:00,0.0
19SEP2018,20:00,0.0
19SEP2018,21:00,0.0
19SEP2018,22:00,0.0
19SEP2018,23:00,0.0
20SEP2018,00:00,0.0
20SEP2018,01:00,0.0
20SEP2018,02:00,0.0
20SEP2018,03:00,0.0
20SEP2018,04:00,0.0
20SEP2018,05:00,0.0
20SEP2018,06:00,0.0
20SEP2018,07:00,0.0
20SEP2018,08:00,0.0
20SEP2018,09:00,0.0
20SEP2018,10:00,0.0
20SEP2018,11:00,0.0
20SEP2018,12:00,0.0
20SEP2018,13:00,0.0
20SEP2018,14:00,0.0
20SEP2018,15:00,0.0
20SEP2018,16:00,0.0
20SEP2018,17:00,0.0
20SEP2018,18:00,0.0
20SEP2018,19:00,0.0
20SEP2018,20:00,0.0
20SEP2018,21:00,0.0
20SEP2018,22:00,0.0
20SEP2018,23:00,0.0
21SEP2018,00:00,0.0
21SEP2018,01:00,0.0
21SEP2018,02:00,0.0
21SEP2018,03:00,0.0
21SEP2018,04:00,0.0
21SEP2018,05:00,0.0
21SEP2018,06:00,0.0
21SEP2018,07:00,0.0
21SEP2018,08:00,0.0
21SEP2018,09:00,0.0
21SEP2018,10:00,0.0
21SEP2018,11:00,0.0
21SEP2018,12:00,0.0
21SEP2018,13:00,0.0
21SEP2018,14:00,0.0
21SEP2018,15:00,0.0
21SEP2018,16:00,0.0
21SEP2018,17:00,0.0
21SEP2018,18:00,0.0
21SEP2018,19:00,0.0
21SEP2018,20:00,0.0
21SEP2018,21:00,0.0
21SEP2018,22:00,0.0
21SEP2018,23:00,0.0
22SEP2018,00:00,0.0
22SEP2018,01:00,0.0
22SEP2018,02:00,0.0
22SEP2018,03:00,0.0
22SEP2018,04:00,0.0
22SEP2018,05:00,0.0
22SEP2018,06:00,0.0
22SEP2018,07:00,0.0
22SEP2018,08:00,0.0
22SEP2018,09:00,0.0
22SEP2018,10:00,0.0
22SEP2018,11:00,0.0
22SEP2018,12:00,0.0
22SEP2018,13:00,0.0
22SEP2018,14:00,0.0
22SEP2018,15:00,0.0
22SEP2018,16:00,0.0
22SEP2018,17:00,0.0
22SEP2018,18:00,0.0
22SEP2018,19:00,0.0
22SEP2018,20:00,0.0
22SEP2018,21:00,0.0
22SEP2018,22:00,0.0
22SEP2018,23:00,0.0
23SEP2018,00:00,0.0
23SEP2018,01:00,0.0
23SEP2018,02:00,0.0
23SEP2018,03:00,0.0
23SEP2018,04:00,0.0
23SEP2018,05:00,0.0
23SEP2018,06:00,0.0
23SEP2018,07:00,0.0
23SEP2018,08:00,0.0
23SEP2018,09:00,0.0
23SEP2018,10:00,0.0
23SEP2018,11:00,0.0
23SEP2018,12:00,0.0
23SEP2018,13:00,0.0
23SEP2018,14:00,0.0
23SEP2018,15:00,0.0
23SEP2018,16:00,0.0
23SEP2018,17:00,0.0
23SEP2018,18:00,0.0
23SEP2018,19:00,0.0
23SEP2018,20:00,0.0
23SEP2018,21:00,0.0
23SEP2018,22:00,0.0
23SEP2018,23:00,0.0
24SEP2018,00:00,0.0
24SEP2018,01:00,0.0
24SEP2018,02:00,0.0
24SEP2018,03:00,0.0
24SEP2018,04:00,0.0
24SEP2018,05:00,0.0
24SEP2018,06:00,0.0
24SEP2018,07:00,0.0
24SEP2018,08:00,0.0
24SEP2018,09:00,0.0
24SEP2018,10:00,0.0
24SEP2018,11:00,0.0
24SEP2018,12:00,0.0
24SEP2018,13:00,0.0
24SEP2018,14:00,0.0
