time_utc,discharge_cfs,unit,approval_status,qualifier,time_local
2018-09-10 19:45:00+00:00,28.5,ft^3/s,Approved,,2018-09-10 15:45:00-04:00
2018-09-10 20:00:00+00:00,28.5,ft^3/s,Approved,,2018-09-10 16:00:00-04:00
2018-09-10 20:15:00+00:00,28.5,ft^3/s,Approved,,2018-09-10 16:15:00-04:00
2018-09-10 20:30:00+00:00,28.8,ft^3/s,Approved,,2018-09-10 16:30:00-04:00
2018-09-10 20:45:00+00:00,29.9,ft^3/s,Approved,,2018-09-10 16:45:00-04:00
2018-09-10 21:00:00+00:00,31.4,ft^3/s,Approved,,2018-09-10 17:00:00-04:00
2018-09-10 21:15:00+00:00,33.8,ft^3/s,Approved,,2018-09-10 17:15:00-04:00
2018-09-10 21:30:00+00:00,37.5,ft^3/s,Approved,,2018-09-10 17:30:00-04:00
2018-09-10 21:45:00+00:00,41.5,ft^3/s,Approved,,2018-09-10 17:45:00-04:00
2018-09-10 22:00:00+00:00,46.3,ft^3/s,Approved,,2018-09-10 18:00:00-04:00
2018-09-10 22:15:00+00:00,51.5,ft^3/s,Approved,,2018-09-10 18:15:00-04:00
2018-09-10 22:30:00+00:00,55.9,ft^3/s,Approved,,2018-09-10 18:30:00-04:00
2018-09-10 22:45:00+00:00,59.9,ft^3/s,Approved,,2018-09-10 18:45:00-04:00
2018-09-10 23:00:00+00:00,63.6,ft^3/s,Approved,,2018-09-10 19:00:00-04:00
2018-09-10 23:15:00+00:00,66.7,ft^3/s,Approved,,2018-09-10 19:15:00-04:00
2018-09-10 23:30:00+00:00,69.4,ft^3/s,Approved,,2018-09-10 19:30:00-04:00
2018-09-10 23:45:00+00:00,71.6,ft^3/s,Approved,,2018-09-10 19:45:00-04:00
2018-09-11 00:00:00+00:00,73.7,ft^3/s,Approved,,2018-09-10 20:00:00-04:00
2018-09-11 00:15:00+00:00,75.2,ft^3/s,Approved,,2018-09-10 20:15:00-04:00
2018-09-11 00:30:00+00:00,76.7,ft^3/s,Approved,,2018-09-10 20:30:00-04:00
2018-09-11 00:45:00+00:00,78.3,ft^3/s,Approved,,2018-09-10 20:45:00-04:00
2018-09-11 01:00:00+00:00,78.3,ft^3/s,Approved,,2018-09-10 21:00:00-04:00
2018-09-11 01:15:00+00:00,79.8,ft^3/s,Approved,,2018-09-10 21:15:00-04:00
2018-09-11 01:30:00+00:00,79.8,ft^3/s,Approved,,2018-09-10 21:30:00-04:00
2018-09-11 01:45:00+00:00,80.6,ft^3/s,Approved,,2018-09-10 21:45:00-04:00
2018-09-11 02:00:00+00:00,81.4,ft^3/s,Approved,,2018-09-10 22:00:00-04:00
2018-09-11 02:15:00+00:00,81.4,ft^3/s,Approved,,2018-09-10 22:15:00-04:00
2018-09-11 02:30:00+00:00,82.2,ft^3/s,Approved,,2018-09-10 22:30:00-04:00
2018-09-11 02:45:00+00:00,82.2,ft^3/s,Approved,,2018-09-10 22:45:00-04:00
2018-09-11 03:00:00+00:00,82.2,ft^3/s,Approved,,2018-09-10 23:00:00-04:00
2018-09-11 03:15:00+00:00,82.2,ft^3/s,Approved,,2018-09-10 23:15:00-04:00
2018-09-11 03:30:00+00:00,83.0,ft^3/s,Approved,,2018-09-10 23:30:00-04:00
2018-09-11 03:45:00+00:00,83.0,ft^3/s,Approved,,2018-09-10 23:45:00-04:00
2018-09-11 04:00:00+00:00,83.0,ft^3/s,Approved,,2018-09-11 00:00:00-04:00
2018-09-11 04:15:00+00:00,82.2,ft^3/s,Approved,,2018-09-11 00:15:00-04:00
2018-09-11 04:30:00+00:00,83.0,ft^3/s,Approved,,2018-09-11 00:30:00-04:00
2018-09-11 04:45:00+00:00,82.2,ft^3/s,Approved,,2018-09-11 00:45:00-04:00
2018-09-11 05:00:00+00:00,83.0,ft^3/s,Approved,,2018-09-11 01:00:00-04:00
2018-09-11 05:15:00+00:00,83.0,ft^3/s,Approved,,2018-09-11 01:15:00-04:00
2018-09-11 05:30:00+00:00,82.2,ft^3/s,Approved,,2018-09-11 01:30:00-04:00
2018-09-11 05:45:00+00:00,83.0,ft^3/s,Approved,,2018-09-11 01:45:00-04:00
2018-09-11 06:00:00+00:00,83.0,ft^3/s,Approved,,2018-09-11 02:00:00-04:00
2018-09-11 06:15:00+00:00,83.0,ft^3/s,Approved,,2018-09-11 02:15:00-04:00
2018-09-11 06:30:00+00:00,82.2,ft^3/s,Approved,,2018-09-11 02:30:00-04:00
2018-09-11 06:45:00+00:00,82.2,ft^3/s,Approved,,2018-09-11 02:45:00-04:00
2018-09-11 07:00:00+00:00,82.2,ft^3/s,Approved,,2018-09-11 03:00:00-04:00
2018-09-11 07:15:00+00:00,82.2,ft^3/s,Approved,,2018-09-11 03:15:00-04:00
2018-09-11 07:30:00+00:00,81.4,ft^3/s,Approved,,2018-09-11 03:30:00-04:00
2018-09-11 07:45:00+00:00,81.4,ft^3/s,Approved,,2018-09-11 03:45:00-04:00
