timestamp_utc,product,filename,local_path,source_url,status,size_bytes
2018-09-15T03:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-030000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-030000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-030000.grib2.gz,downloaded,604393
2018-09-15T04:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-040000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-040000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-040000.grib2.gz,downloaded,607009
2018-09-15T05:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-050000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-050000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-050000.grib2.gz,downloaded,585600
2018-09-15T06:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-060000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-060000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-060000.grib2.gz,downloaded,588628
2018-09-15T07:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-070000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-070000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-070000.grib2.gz,downloaded,593908
2018-09-15T08:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-080000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-080000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-080000.grib2.gz,downloaded,584168
2018-09-15T09:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-090000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-090000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-090000.grib2.gz,downloaded,605982
2018-09-15T10:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-100000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-100000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-100000.grib2.gz,downloaded,629773
2018-09-15T11:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-110000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-110000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-110000.grib2.gz,downloaded,638515
2018-09-15T12:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-120000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-120000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-120000.grib2.gz,downloaded,625208
2018-09-15T13:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-130000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-130000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-130000.grib2.gz,downloaded,634752
2018-09-15T14:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-140000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-140000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-140000.grib2.gz,downloaded,613333
2018-09-15T15:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-150000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-150000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-150000.grib2.gz,downloaded,587561
2018-09-15T16:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-160000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-160000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-160000.grib2.gz,downloaded,582700
2018-09-15T17:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-170000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-170000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-170000.grib2.gz,downloaded,610270
2018-09-15T18:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-180000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-180000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-180000.grib2.gz,downloaded,650849
2018-09-15T19:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-190000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-190000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-190000.grib2.gz,downloaded,684705
2018-09-15T20:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-200000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-200000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-200000.grib2.gz,downloaded,763142
2018-09-15T21:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-210000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-210000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-210000.grib2.gz,downloaded,826779
2018-09-15T22:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-220000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-220000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-220000.grib2.gz,downloaded,850509
2018-09-15T23:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180915-230000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180915-230000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/15/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180915-230000.grib2.gz,downloaded,852763
2018-09-16T00:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180916-000000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180916-000000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/16/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180916-000000.grib2.gz,downloaded,841154
2018-09-16T01:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180916-010000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180916-010000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/16/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180916-010000.grib2.gz,downloaded,812419
2018-09-16T02:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180916-020000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180916-020000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/16/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180916-020000.grib2.gz,downloaded,780766
2018-09-16T03:00:00+00:00,GaugeCorr_QPE_01H,GaugeCorr_QPE_01H_00.00_20180916-030000.grib2.gz,data\raw\rainfall\mrms_gaugecorr_qpe_01h\GaugeCorr_QPE_01H_00.00_20180916-030000.grib2.gz,https://mtarchive.geol.iastate.edu/2018/09/16/mrms/ncep/GaugeCorr_QPE_01H/GaugeCorr_QPE_01H_00.00_20180916-030000.grib2.gz,downloaded,796841
