time_local,rainfall_inches,discharge_cfs,rainfall_missing,streamflow_missing
2018-09-10 00:00:00-04:00,0.0,40.5,False,False
2018-09-10 01:00:00-04:00,0.0,40.2,False,False
2018-09-10 02:00:00-04:00,0.0,39.900000000000006,False,False
2018-09-10 03:00:00-04:00,0.0,39.7,False,False
2018-09-10 04:00:00-04:00,0.0,39.3,False,False
2018-09-10 05:00:00-04:00,0.0,39.3,False,False
2018-09-10 06:00:00-04:00,0.0,39.3,False,False
2018-09-10 07:00:00-04:00,0.0,39.3,False,False
2018-09-10 08:00:00-04:00,0.0,39.3,False,False
2018-09-10 09:00:00-04:00,0.0,39.5,False,False
2018-09-10 10:00:00-04:00,0.0,39.8,False,False
2018-09-10 11:00:00-04:00,6.439040780760237e-05,39.7,False,False
2018-09-10 12:00:00-04:00,0.0008738686578918898,39.5,False,False
2018-09-10 13:00:00-04:00,0.0,39.6,False,False
2018-09-10 14:00:00-04:00,0.0011958203021681182,39.2,False,False
2018-09-10 15:00:00-04:00,0.00171094290669263,39.3,False,False
2018-09-10 16:00:00-04:00,0.0,38.9,False,False
2018-09-10 17:00:00-04:00,0.0004323350908617796,38.9,False,False
2018-09-10 18:00:00-04:00,0.0006255060072476418,39.0,False,False
2018-09-10 19:00:00-04:00,0.0,38.9,False,False
2018-09-10 20:00:00-04:00,0.0,38.9,False,False
2018-09-10 21:00:00-04:00,0.0,38.9,False,False
2018-09-10 22:00:00-04:00,0.0,38.8,False,False
2018-09-10 23:00:00-04:00,0.0,38.6,False,False
2018-09-11 00:00:00-04:00,0.0,38.7,False,False
2018-09-11 01:00:00-04:00,0.0,38.8,False,False
2018-09-11 02:00:00-04:00,0.0,38.7,False,False
2018-09-11 03:00:00-04:00,0.0,38.6,False,False
2018-09-11 04:00:00-04:00,0.0,38.5,False,False
2018-09-11 05:00:00-04:00,0.0,38.5,False,False
2018-09-11 06:00:00-04:00,0.0,38.5,False,False
2018-09-11 07:00:00-04:00,0.0,38.8,False,False
2018-09-11 08:00:00-04:00,0.0,38.7,False,False
2018-09-11 09:00:00-04:00,0.0,38.425,False,False
2018-09-11 10:00:00-04:00,0.0,38.6,False,False
2018-09-11 11:00:00-04:00,0.0,38.8,False,False
2018-09-11 12:00:00-04:00,0.0,38.7,False,False
2018-09-11 13:00:00-04:00,0.0017569361428514765,38.9,False,False
2018-09-11 14:00:00-04:00,0.005436382622493882,39.3,False,False
2018-09-11 15:00:00-04:00,0.0153524918275143,39.6,False,False
2018-09-11 16:00:00-04:00,0.42734933661365365,39.8,False,False
2018-09-11 17:00:00-04:00,0.13303959483263098,40.3,False,False
2018-09-11 18:00:00-04:00,0.023842816391794072,40.8,False,False
2018-09-11 19:00:00-04:00,0.010431232292031564,41.6,False,False
2018-09-11 20:00:00-04:00,0.0,41.7,False,False
2018-09-11 21:00:00-04:00,0.0,42.075,False,False
2018-09-11 22:00:00-04:00,0.0,42.5,False,False
2018-09-11 23:00:00-04:00,0.0,42.8,False,False
2018-09-12 00:00:00-04:00,0.0,42.6,False,False
2018-09-12 01:00:00-04:00,0.0,42.6,False,False
2018-09-12 02:00:00-04:00,0.0,42.6,False,False
2018-09-12 03:00:00-04:00,0.0,43.1,False,False
2018-09-12 04:00:00-04:00,0.0,43.4,False,False
2018-09-12 05:00:00-04:00,0.0014993746212771102,43.4,False,False
2018-09-12 06:00:00-04:00,3.679451874720079e-05,43.4,False,False
2018-09-12 07:00:00-04:00,0.0,43.7,False,False
2018-09-12 08:00:00-04:00,0.0,43.9,False,False
2018-09-12 09:00:00-04:00,0.0,44.1,False,False
2018-09-12 10:00:00-04:00,0.0,44.2,False,False
2018-09-12 11:00:00-04:00,0.0,44.1,False,False
2018-09-12 12:00:00-04:00,0.0,44.2,False,False
2018-09-12 13:00:00-04:00,0.0,43.9,False,False
2018-09-12 14:00:00-04:00,0.0,43.6,False,False
2018-09-12 15:00:00-04:00,0.0,43.4,False,False
2018-09-12 16:00:00-04:00,0.0,43.4,False,False
2018-09-12 17:00:00-04:00,0.00131540229071563,43.0,False,False
2018-09-12 18:00:00-04:00,0.005445581339905528,42.8,False,False
2018-09-12 19:00:00-04:00,0.013733535415070572,42.8,False,False
2018-09-12 20:00:00-04:00,0.00024836265064424407,42.6,False,False
2018-09-12 21:00:00-04:00,0.0,42.6,False,False
2018-09-12 22:00:00-04:00,0.0,42.6,False,False
2018-09-12 23:00:00-04:00,0.0,42.7,False,False
2018-09-13 00:00:00-04:00,0.0,42.8,False,False
2018-09-13 01:00:00-04:00,0.0,43.0,False,False
2018-09-13 02:00:00-04:00,0.0,43.5,False,False
2018-09-13 03:00:00-04:00,0.0,43.7,False,False
2018-09-13 04:00:00-04:00,0.0,44.0,False,False
2018-09-13 05:00:00-04:00,0.0,44.5,False,False
2018-09-13 06:00:00-04:00,0.0,44.6,False,False
2018-09-13 07:00:00-04:00,0.0,45.125,False,False
2018-09-13 08:00:00-04:00,0.0,45.375,False,False
2018-09-13 09:00:00-04:00,0.0,45.5,False,False
2018-09-13 10:00:00-04:00,0.0,45.8,False,False
2018-09-13 11:00:00-04:00,0.005105232589774173,45.775,False,False
2018-09-13 12:00:00-04:00,0.0066506005568661855,45.975,False,False
2018-09-13 13:00:00-04:00,0.014662595500183891,46.175,False,False
2018-09-13 14:00:00-04:00,0.0,46.0,False,False
