site_number,site_name,time_local,discharge_cfs
02092500,"Trent River near Trenton, NC",2018-09-13 08:00:00-04:00,45.375
02092500,"Trent River near Trenton, NC",2018-09-13 09:00:00-04:00,45.5
02092500,"Trent River near Trenton, NC",2018-09-13 10:00:00-04:00,45.8
02092500,"Trent River near Trenton, NC",2018-09-13 11:00:00-04:00,45.775
02092500,"Trent River near Trenton, NC",2018-09-13 12:00:00-04:00,45.974999999999994
02092500,"Trent River near Trenton, NC",2018-09-13 13:00:00-04:00,46.175
02092500,"Trent River near Trenton, NC",2018-09-13 14:00:00-04:00,46.0
02092500,"Trent River near Trenton, NC",2018-09-13 15:00:00-04:00,46.625
02092500,"Trent River near Trenton, NC",2018-09-13 16:00:00-04:00,46.95
02092500,"Trent River near Trenton, NC",2018-09-13 17:00:00-04:00,47.175000000000004
02092500,"Trent River near Trenton, NC",2018-09-13 18:00:00-04:00,48.0
02092500,"Trent River near Trenton, NC",2018-09-13 19:00:00-04:00,49.075
02092500,"Trent River near Trenton, NC",2018-09-13 20:00:00-04:00,50.15
02092500,"Trent River near Trenton, NC",2018-09-13 21:00:00-04:00,51.025
02092500,"Trent River near Trenton, NC",2018-09-13 22:00:00-04:00,52.275
02092500,"Trent River near Trenton, NC",2018-09-13 23:00:00-04:00,53.95
02092500,"Trent River near Trenton, NC",2018-09-14 00:00:00-04:00,55.05
02092500,"Trent River near Trenton, NC",2018-09-14 01:00:00-04:00,57.224999999999994
02092500,"Trent River near Trenton, NC",2018-09-14 02:00:00-04:00,58.75
02092500,"Trent River near Trenton, NC",2018-09-14 03:00:00-04:00,60.85
02092500,"Trent River near Trenton, NC",2018-09-14 04:00:00-04:00,63.2
02092500,"Trent River near Trenton, NC",2018-09-14 05:00:00-04:00,64.75
02092500,"Trent River near Trenton, NC",2018-09-14 06:00:00-04:00,68.425
02092500,"Trent River near Trenton, NC",2018-09-14 07:00:00-04:00,74.825
02092500,"Trent River near Trenton, NC",2018-09-14 08:00:00-04:00,81.7
02092500,"Trent River near Trenton, NC",2018-09-14 09:00:00-04:00,92.7
02092500,"Trent River near Trenton, NC",2018-09-14 10:00:00-04:00,113.25
