site_id,site_name,time_utc,time_local,discharge_cfs,unit,parameter_code,approval_status,qualifier
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 14:30:00+00:00,2018-09-10 10:30:00-04:00,40.1,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 14:45:00+00:00,2018-09-10 10:45:00-04:00,40.1,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 15:00:00+00:00,2018-09-10 11:00:00-04:00,39.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 15:15:00+00:00,2018-09-10 11:15:00-04:00,39.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 15:30:00+00:00,2018-09-10 11:30:00-04:00,39.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 15:45:00+00:00,2018-09-10 11:45:00-04:00,39.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 16:00:00+00:00,2018-09-10 12:00:00-04:00,39.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 16:15:00+00:00,2018-09-10 12:15:00-04:00,39.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 16:30:00+00:00,2018-09-10 12:30:00-04:00,39.3,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 16:45:00+00:00,2018-09-10 12:45:00-04:00,39.3,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 17:00:00+00:00,2018-09-10 13:00:00-04:00,39.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 17:15:00+00:00,2018-09-10 13:15:00-04:00,39.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 17:30:00+00:00,2018-09-10 13:30:00-04:00,39.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 17:45:00+00:00,2018-09-10 13:45:00-04:00,39.3,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 18:00:00+00:00,2018-09-10 14:00:00-04:00,39.3,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 18:15:00+00:00,2018-09-10 14:15:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 18:30:00+00:00,2018-09-10 14:30:00-04:00,39.3,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 18:45:00+00:00,2018-09-10 14:45:00-04:00,39.3,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 19:00:00+00:00,2018-09-10 15:00:00-04:00,39.3,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 19:15:00+00:00,2018-09-10 15:15:00-04:00,39.3,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 19:30:00+00:00,2018-09-10 15:30:00-04:00,39.3,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 19:45:00+00:00,2018-09-10 15:45:00-04:00,39.3,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 20:00:00+00:00,2018-09-10 16:00:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 20:15:00+00:00,2018-09-10 16:15:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 20:30:00+00:00,2018-09-10 16:30:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-10 20:45:00+00:00,2018-09-10 16:45:00-04:00,38.9,ft^3/s,00060,Approved,
